id|code|sectionName|sectionCode|fieldName|index|is_obsolete|idSubsection|type
63|leaveCountry.officialDocumentation.id|Facilidad de abandonar el país|8|El imputado cuenta con documentación oficial que facilita que abandone el país|1|0|42|Election
64|leaveCountry.livedCountry.id|Facilidad de abandonar el país|8|El imputado ha vivido en otro país|2|0|43|Election
65|leaveCountry.country.id|Facilidad de abandonar el país|8|País|3|0|43|Country
66|leaveCountry.state|Facilidad de abandonar el país|8|Estado|4|0|43|String
67|leaveCountry.timeAgo|Facilidad de abandonar el país|8|Hace cuanto tiempo|5|0|43|String
68|leaveCountry.reason|Facilidad de abandonar el país|8|Motivo por el que ahora vive en México|6|0|43|String
69|leaveCountry.address|Facilidad de abandonar el país|8|Dirección|7|0|43|String
70|leaveCountry.familyAnotherCountry.id|Facilidad de abandonar el país|8|El imputado cuenta con familiares y/o amigos cercanos en otro país|8|0|44|Election
71|leaveCountry.communicationFamily.id|Facilidad de abandonar el país|8|Mantiene comunicación con ellos|9|0|44|Election
72|leaveCountry.media|Facilidad de abandonar el país|8|Medio de comunicación|10|0|44|String
