id|name|description|obsolete
107|Ultraje y uso indebido de insignias públicas|Ultraje y uso indebido de insignias públicas|0
108|Ultrajes a la autoridad|Ultrajes a la autoridad|0
109|Uso de documento falso|Uso de documento falso|0
110|Uso indebido de medio de comunicación|Uso indebido de medio de comunicación|0
111|Usura|Usura|0
112|Usurupación de funciones públicas|Usurupación de funciones públicas|0
113|Usuarpación de profesiones|Usuarpación de profesiones|0
114|Variación de nombre, domicilio o ciudadanía|Variación de nombre, domicilio o ciudadanía|0
115|Violación|Violación|0
116|Violación de correspondencia|Violación de correspondencia|0
117|Violación de la intimidad personal|Violación de la intimidad personal|0
118|Violencia familiar|Violencia familiar|0
