id|code|sectionName|sectionCode|fieldName|index|is_obsolete|idSubsection|type
62|jobs.schedule|Historia laboral|5|Disponibilidad|10|0|200|Schedule
63|jobs.startPrev|Historia laboral|5|Fecha de inicio|11|0|32|Date
64|jobs.end|Historia laboral|5|Fecha de fin|12|0|32|Date
65|jobs.reasonChange|Historia laboral|5|Motivo de cambio|13|0|32|String
66|school.block|Historia escolar|6|Estudia actualmente|1|0|55|Boolean
67|school.name|Historia escolar|6|Escuela|2|0|33|String
68|school.phone|Historia escolar|6|Teléfono|3|0|34|String
69|school.address|Historia escolar|6|Dirección|4|0|35|String
70|school.degree.id|Historia escolar|6|Nivel escolar|5|0|36|Degree
71|school.specification|Historia escolar|6|Especificación|6|0|36|String
72|school.schedule|Historia escolar|6|Disponibilidad|7|0|37|Schedule
73|drugs.block|Sustancias|7|Consume sustancias acutalmente|1|0|56|Boolean
74|drugs.drugType.id|Sustancias|7|Tipo de sustancia|2|0|38|DrugType
75|drugs.specificationType|Sustancias|7|Especificación de la sustancia|3|0|38|String
76|drugs.periodicity.id|Sustancias|7|Periodicidad|4|0|39|Periodicity
77|drugs.specificationPeriodicity|Sustancias|7|Especificación de la periodicidad|5|0|39|String
78|drugs.quantity|Sustancias|7|Cantidad|6|0|40|String
79|drugs.lastUse|Sustancias|7|Último uso|7|0|41|Date
80|drugs.onsetAge|Sustancias|7|Edad en que empezó el consumo|8|0|57|String
81|leaveCountry.officialDocumentation.id|Facilidad de abandonar el país|8|El imputado cuenta con documentación oficial que facilita que abandone el país|1|0|42|Election
82|leaveCountry.immigrationDocument.id|Facilidad de abandonar el país|8|Documentación para salir del país|2|0|42|ImmigrationDocument
83|leaveCountry.specficationImmigranDoc|Facilidad de abandonar el país|8|Especificación de documento|3|0|42|String
84|leaveCountry.livedCountry.id|Facilidad de abandonar el país|8|El imputado ha vivido en otro país|4|0|43|Election
85|leaveCountry.country.id|Facilidad de abandonar el país|8|País|5|0|43|Country
86|leaveCountry.state|Facilidad de abandonar el país|8|Estado|6|0|43|String
87|leaveCountry.timeAgo|Facilidad de abandonar el país|8|Hace cuanto tiempo|7|0|43|String
88|leaveCountry.timeResidence|Facilidad de abandonar el país|8|Tiempo que vivió en otro país|8|0|43|String
89|leaveCountry.reason|Facilidad de abandonar el país|8|Motivo por el que ahora vive en México|9|0|43|String
90|leaveCountry.address|Facilidad de abandonar el país|8|Dirección|10|0|43|String
91|leaveCountry.familyAnotherCountry.id|Facilidad de abandonar el país|8|El imputado cuenta con familiares y/o amigos cercanos en otro país|11|0|44|Election
92|leaveCountry.communicationFamily.id|Facilidad de abandonar el país|8|Mantiene comunicación con ellos|12|0|44|Election
93|leaveCountry.relationship.id|Facilidad de abandonar el país|8|Relación|13|0|44|Relationship
94|leaveCountry.specificationRelationship|Facilidad de abandonar el país|8|Especificación de relación|14|0|44|String
95|leaveCountry.media|Facilidad de abandonar el país|8|Medio de comunicación|15|0|44|String
