id	code	sectionName	sectionCode	fieldName	index	is_obsolete	idSubsection	type
62	school.phone	Historia escolar	6	Teléfono	2	0	34	String
63	school.address	Historia escolar	6	Dirección	3	0	35	String
64	school.degree.id	Historia escolar	6	Nivel escolar	4	0	36	Degree
65	school.specification	Historia escolar	6	Especificación	5	0	36	String
66	school.schedule	Historia escolar	6	Disponibilidad	6	0	37	Schedule
67	drugs.drugType.id	Sustancias	7	Tipo de sustancia	1	0	38	DrugType
68	drugs.specificationType	Sustancias	7	Especificación de la sustancia	2	0	38	String
69	drugs.periodicity.id	Sustancias	7	Periodicidad	3	0	39	Periodicity
70	drugs.specificationPeriodicity	Sustancias	7	Especificación de la periodicidad	4	0	39	String
71	drugs.quantity	Sustancias	7	Cantidad	5	0	40	String
72	drugs.lastUse	Sustancias	7	Último uso	6	0	41	Date
73	leaveCountry.officialDocumentation.id	Facilidad de abandonar el país	8	El imputado cuenta con documentación oficial que facilita que abandone el país	1	0	42	Election
74	leaveCountry.livedCountry.id	Facilidad de abandonar el país	8	El imputado ha vivido en otro país	2	0	43	Election
75	leaveCountry.country.id	Facilidad de abandonar el país	8	País	3	0	43	Country
76	leaveCountry.state	Facilidad de abandonar el país	8	Estado	4	0	43	String
77	leaveCountry.timeAgo	Facilidad de abandonar el país	8	Hace cuanto tiempo	5	0	43	String
78	leaveCountry.reason	Facilidad de abandonar el país	8	Motivo por el que ahora vive en México	6	0	43	String
79	leaveCountry.address	Facilidad de abandonar el país	8	Dirección	7	0	43	String
80	leaveCountry.familyAnotherCountry.id	Facilidad de abandonar el país	8	El imputado cuenta con familiares y/o amigos cercanos en otro país	8	0	44	Election
81	leaveCountry.communicationFamily.id	Facilidad de abandonar el país	8	Mantiene comunicación con ellos	9	0	44	Election
82	leaveCountry.media	Facilidad de abandonar el país	8	Medio de comunicación	10	0	44	String
